description,label
Major accident on Ring Road. Bus overturned carrying 48 passengers. Multiple casualties reported.,Highly Critical
Oil tanker fire on Mumbai-Pune Expressway. Thick black smoke visible for miles. 6 firefighters also injured in rescue.,Highly Critical
Drunk driver crashed into bus stop on Kolkata-Delhi Highway. 14 people killed. Several more in critical condition.,Highly Critical
"Fatal accident on Pune-Bangalore Highway. Vehicle caught fire after collision. 22 dead, 5 people trapped.",Highly Critical
Minor bump between school van and wall at City Mall. No children on board. Driver is fine.,Moderate
Pedestrians hit by speeding truck on Hosur Road. 13 people critically injured including children. Blood on road.,Highly Critical
Truck overturned on Eastern Express Highway spilling hazardous chemicals. Area evacuation in progress. 18 people affected.,Highly Critical
"Low-speed collision in traffic jam on Kolkata-Delhi Highway. Bumper to bumper touch. No injuries, minimal damage.",Moderate
Slow-speed rear-end hit at NH7 toll plaza. Minor scratch. No injury. Both drivers exchanging information.,Moderate
Head-on collision between truck and car on Noida Expressway. 5 critically injured. Fuel leaking from tanker.,Highly Critical
Auto-rickshaw and car minor scrape on Western Express Highway. Slight mirror damage. Both drivers arguing but uninjured.,Moderate
"School bus accident on Pune-Bangalore Highway. Children trapped inside overturned bus. 23 injuries, parents rushing to scene.",Highly Critical
Vehicle rolled backward slightly on NH44 slope. Tapped car behind. Tiny dent. No injuries at all.,Moderate
Car went over speed bump too fast on Yamuna Expressway. Scraping sound underneath. No collision. Car seems fine.,Moderate
Car door opened into passing cyclist on Western Express Highway. Cyclist has minor elbow scratch. No serious injury.,Moderate
Cement mixer overturned on Mumbai-Pune Expressway landing on a car. 20 people crushed. Heavy crane needed to lift.,Highly Critical
Branch scratch on car roof on Station Road. Cosmetic damage only. No personnel injury. Owner annoyed.,Moderate
Parking lot accident at Market Area. Car reversed into another vehicle. Paint scratches only. No injuries.,Moderate
Cement mixer overturned on Agra-Lucknow Expressway landing on a car. 22 people crushed. Heavy crane needed to lift.,Highly Critical
Major landslide on Western Express Highway burying 10 vehicles. 13 people missing. Heavy rescue equipment needed.,Highly Critical
Tree branch fell on parked car at Bypass Road. Windshield cracked. No one inside. Owner filing insurance.,Moderate
Car stalled and was lightly bumped from behind on Yamuna Expressway. No injuries. Mechanic called for tow.,Moderate
Bike skidded on Eastern Express Highway due to oil spill. Rider has minor scratches. No other vehicles involved.,Moderate
Pothole caused tire burst on Industrial Area Road. Vehicle pulled over safely. No collision. Waiting for replacement.,Moderate
"Hit and run on Bandra-Worli Sea Link. Victim dragged 900 meters. Critical injuries, massive internal bleeding.",Highly Critical
Car stalled and was lightly bumped from behind on Outer Ring Road. No injuries. Mechanic called for tow.,Moderate
Vehicle hit a stray dog on Hosur Road. Minor bumper damage. Animal ran away. Driver stopped to check.,Moderate
"Fatal accident on Agra-Lucknow Expressway. Vehicle caught fire after collision. 19 dead, 3 people trapped.",Highly Critical
Minor accident at parking garage at Commercial District. Scraped pillar while turning. No other vehicle involved.,Moderate
Branch scratch on car roof on GT Road. Cosmetic damage only. No personnel injury. Owner annoyed.,Moderate
"Hit and run on Eastern Express Highway. Victim dragged 900 meters. Critical injuries, massive internal bleeding.",Highly Critical
Auto-rickshaw and car minor scrape on Eastern Express Highway. Slight mirror damage. Both drivers arguing but uninjured.,Moderate
Explosion at accident site on GT Road after fuel tanker collision. Fire spreading rapidly. 18 casualties.,Highly Critical
Oil tanker fire on MG Road. Thick black smoke visible for miles. 17 firefighters also injured in rescue.,Highly Critical
Electric scooter tipped over on Ring Road. Rider unhurt but scooter has broken footrest. No collision.,Moderate
Car door opened into passing cyclist on NH44. Cyclist has minor elbow scratch. No serious injury.,Moderate
Bridge collapse on Station Road due to heavy vehicle overload. Multiple vehicles fallen. 24 people trapped below.,Highly Critical
Vehicle hit a stray dog on Yamuna Expressway. Minor bumper damage. Animal ran away. Driver stopped to check.,Moderate
Pothole caused tire burst on Station Road. Vehicle pulled over safely. No collision. Waiting for replacement.,Moderate
Vehicle rolled backward slightly on Noida Expressway slope. Tapped car behind. Tiny dent. No injuries at all.,Moderate
Minor accident at parking garage at Shopping Complex. Scraped pillar while turning. No other vehicle involved.,Moderate
Head-on collision between truck and car on Bandra-Worli Sea Link. 4 critically injured. Fuel leaking from tanker.,Highly Critical
Branch scratch on car roof on MG Road. Cosmetic damage only. No personnel injury. Owner annoyed.,Moderate
Taxi and auto minor touch at NH48 corner. Both vehicles operational. Passengers unhurt. Horn argument ongoing.,Moderate
Explosion at accident site on GT Road after fuel tanker collision. Fire spreading rapidly. 13 casualties.,Highly Critical
Explosion at accident site on Bandra-Worli Sea Link after fuel tanker collision. Fire spreading rapidly. 4 casualties.,Highly Critical
Small accident on Western Express Highway. Rear-end collision at traffic signal. Minor damage to bumpers. Drivers exchanging details.,Moderate
Explosion at accident site on Eastern Express Highway after fuel tanker collision. Fire spreading rapidly. 9 casualties.,Highly Critical
Branch scratch on car roof on NH48. Cosmetic damage only. No personnel injury. Owner annoyed.,Moderate
Taxi and auto minor touch at Western Express Highway corner. Both vehicles operational. Passengers unhurt. Horn argument ongoing.,Moderate
Water tanker brushed against parked car on Nagpur-Hyderabad Highway. Side panel scratch. No occupants in parked car.,Moderate
Small accident on Hosur Road. Rear-end collision at traffic signal. Minor damage to bumpers. Drivers exchanging details.,Moderate
Multi-car collision in tunnel on Agra-Lucknow Expressway. Fire and smoke filling tunnel. 5 people unconscious from smoke.,Highly Critical
Taxi and auto minor touch at Noida Expressway corner. Both vehicles operational. Passengers unhurt. Horn argument ongoing.,Moderate
Pedestrians hit by speeding truck on Noida Expressway. 6 people critically injured including children. Blood on road.,Highly Critical
Minor fender bender on NH48. Two cars involved. No injuries reported. Traffic slightly affected.,Moderate
Car stalled and was lightly bumped from behind on Western Express Highway. No injuries. Mechanic called for tow.,Moderate
Gas tanker explosion on Chennai-Bangalore Highway. Massive fire engulfing nearby vehicles. 21 feared dead. Evacuation underway.,Highly Critical
Minor bump between school van and wall at Residential Colony. No children on board. Driver is fine.,Moderate
Truck side-view mirror hit signboard on Station Road. Mirror cracked. No other damage. Driver continued.,Moderate
Cement mixer overturned on Agra-Lucknow Expressway landing on a car. 11 people crushed. Heavy crane needed to lift.,Highly Critical
Highway pileup of 11 cars on Eastern Express Highway due to fog. 25 people injured across multiple vehicles.,Highly Critical
Pothole caused tire burst on Mumbai-Pune Expressway. Vehicle pulled over safely. No collision. Waiting for replacement.,Moderate
Ambulance carrying patients crashed on Ahmedabad-Vadodara Expressway. 23 people now critical. Both original and new patients affected.,Highly Critical
Car door opened into passing cyclist on Hosur Road. Cyclist has minor elbow scratch. No serious injury.,Moderate
Minor fender bender on Industrial Area Road. Two cars involved. No injuries reported. Traffic slightly affected.,Moderate
Cyclist fell after hitting pothole on Ring Road. Minor knee scrape. Cyclist walked away pushing bike.,Moderate
Head-on collision between truck and car on Agra-Lucknow Expressway. 12 critically injured. Fuel leaking from tanker.,Highly Critical
"Low-speed collision in traffic jam on Ring Road. Bumper to bumper touch. No injuries, minimal damage.",Moderate
Building debris fell on Chennai-Bangalore Highway after accident impact. 14 vehicles buried. 8 trapped in rubble.,Highly Critical
"Two buses collided head-on at Ahmedabad-Vadodara Expressway. 26 passengers on board. Massive casualties, ambulances needed.",Highly Critical
Minor accident at parking garage at University Campus. Scraped pillar while turning. No other vehicle involved.,Moderate
Auto-rickshaw and car minor scrape on Airport Road. Slight mirror damage. Both drivers arguing but uninjured.,Moderate
Cyclist fell after hitting pothole on Mumbai-Pune Expressway. Minor knee scrape. Cyclist walked away pushing bike.,Moderate
Bridge collapse on Pune-Bangalore Highway due to heavy vehicle overload. Multiple vehicles fallen. 24 people trapped below.,Highly Critical
Cyclist fell after hitting pothole on NH48. Minor knee scrape. Cyclist walked away pushing bike.,Moderate
Bridge collapse on Eastern Express Highway due to heavy vehicle overload. Multiple vehicles fallen. 12 people trapped below.,Highly Critical
Cyclist fell after hitting pothole on Yamuna Expressway. Minor knee scrape. Cyclist walked away pushing bike.,Moderate
Car stalled and was lightly bumped from behind on Noida Expressway. No injuries. Mechanic called for tow.,Moderate
Car door opened into passing cyclist on NH44. Cyclist has minor elbow scratch. No serious injury.,Moderate
Branch scratch on car roof on Chennai-Bangalore Highway. Cosmetic damage only. No personnel injury. Owner annoyed.,Moderate
Head-on collision between truck and car on Station Road. 20 critically injured. Fuel leaking from tanker.,Highly Critical
Slow-speed rear-end hit at Noida Expressway toll plaza. Minor scratch. No injury. Both drivers exchanging information.,Moderate
Ambulance carrying patients crashed on Yamuna Expressway. 15 people now critical. Both original and new patients affected.,Highly Critical
Minor collision at Station Road intersection. Both drivers alert and talking. Small dent on fender. Traffic moving.,Moderate
Multi-car collision in tunnel on Delhi-Jaipur Highway. Fire and smoke filling tunnel. 24 people unconscious from smoke.,Highly Critical
"School bus accident on Delhi-Jaipur Highway. Children trapped inside overturned bus. 5 injuries, parents rushing to scene.",Highly Critical
"School bus accident on Western Express Highway. Children trapped inside overturned bus. 20 injuries, parents rushing to scene.",Highly Critical
Ambulance carrying patients crashed on Hosur Road. 9 people now critical. Both original and new patients affected.,Highly Critical
Car went over speed bump too fast on Bandra-Worli Sea Link. Scraping sound underneath. No collision. Car seems fine.,Moderate
Minor sideswipe between two cars on Hosur Road. Paint transfer only. Both drivers walking and fine.,Moderate
Minor fender bender on Yamuna Expressway. Two cars involved. No injuries reported. Traffic slightly affected.,Moderate
Car door opened into passing cyclist on Outer Ring Road. Cyclist has minor elbow scratch. No serious injury.,Moderate
Pothole caused tire burst on Bandra-Worli Sea Link. Vehicle pulled over safely. No collision. Waiting for replacement.,Moderate
Ambulance carrying patients crashed on Pune-Bangalore Highway. 20 people now critical. Both original and new patients affected.,Highly Critical
Car went over speed bump too fast on Ring Road. Scraping sound underneath. No collision. Car seems fine.,Moderate
Minor fender bender on Hosur Road. Two cars involved. No injuries reported. Traffic slightly affected.,Moderate
Oil tanker fire on Mumbai-Pune Expressway. Thick black smoke visible for miles. 12 firefighters also injured in rescue.,Highly Critical
Oil tanker fire on Bandra-Worli Sea Link. Thick black smoke visible for miles. 15 firefighters also injured in rescue.,Highly Critical
Head-on collision between truck and car on Western Express Highway. 23 critically injured. Fuel leaking from tanker.,Highly Critical
Major landslide on NH7 burying 3 vehicles. 17 people missing. Heavy rescue equipment needed.,Highly Critical
"Two buses collided head-on at Agra-Lucknow Expressway. 49 passengers on board. Massive casualties, ambulances needed.",Highly Critical
"Hit and run on Hosur Road. Victim dragged 1200 meters. Critical injuries, massive internal bleeding.",Highly Critical
Bus grazed a bollard on Industrial Area Road. Minor paint scrape. All passengers safe. Bus continued on route.,Moderate
Truck overturned on Yamuna Expressway spilling hazardous chemicals. Area evacuation in progress. 25 people affected.,Highly Critical
Motorcycle slid on gravel on NH48. Rider has road rash on arm. Helmet saved head. Rider walking.,Moderate
"Fatal accident on Ahmedabad-Vadodara Expressway. Vehicle caught fire after collision. 16 dead, 5 people trapped.",Highly Critical
Cyclist fell after hitting pothole on Agra-Lucknow Expressway. Minor knee scrape. Cyclist walked away pushing bike.,Moderate
"High-speed collision on NH44. Car crushed under truck. 13 people severely injured, immediate rescue needed.",Highly Critical
Building debris fell on NH7 after accident impact. 5 vehicles buried. 11 trapped in rubble.,Highly Critical
Major accident on Station Road. Bus overturned carrying 33 passengers. Multiple casualties reported.,Highly Critical
Building debris fell on Bypass Road after accident impact. 6 vehicles buried. 14 trapped in rubble.,Highly Critical
"Hit and run on NH48. Victim dragged 1000 meters. Critical injuries, massive internal bleeding.",Highly Critical
Pedestrians hit by speeding truck on NH44. 13 people critically injured including children. Blood on road.,Highly Critical
Car door opened into passing cyclist on Agra-Lucknow Expressway. Cyclist has minor elbow scratch. No serious injury.,Moderate
Explosion at accident site on Mumbai-Pune Expressway after fuel tanker collision. Fire spreading rapidly. 7 casualties.,Highly Critical
"Two buses collided head-on at Pune-Bangalore Highway. 46 passengers on board. Massive casualties, ambulances needed.",Highly Critical
Bike skidded on Station Road due to oil spill. Rider has minor scratches. No other vehicles involved.,Moderate
High-speed bike crash into crowd on Kolkata-Delhi Highway. 21 bystanders injured. Rider critically hurt and unconscious.,Highly Critical
Construction crane collapsed on Airport Road crushing 5 vehicles. 24 workers and drivers trapped.,Highly Critical
Severe accident on GT Road. Vehicle rolled over multiple times. Passengers ejected. 20 in critical state.,Highly Critical
Pothole caused tire burst on Bypass Road. Vehicle pulled over safely. No collision. Waiting for replacement.,Moderate
Pothole caused tire burst on Ring Road. Vehicle pulled over safely. No collision. Waiting for replacement.,Moderate
Car stalled and was lightly bumped from behind on NH44. No injuries. Mechanic called for tow.,Moderate
Derailed train blocking Western Express Highway. 25 passengers injured. Multiple carriages overturned. Rescue ops started.,Highly Critical
Auto-rickshaw and car minor scrape on Kolkata-Delhi Highway. Slight mirror damage. Both drivers arguing but uninjured.,Moderate
Food delivery bike slipped on Eastern Express Highway. Rider okay with helmet. Food spillage only. No traffic disruption.,Moderate
"School bus accident on Airport Road. Children trapped inside overturned bus. 3 injuries, parents rushing to scene.",Highly Critical
Motorcycle slid on gravel on Yamuna Expressway. Rider has road rash on arm. Helmet saved head. Rider walking.,Moderate
Slow-speed rear-end hit at Airport Road toll plaza. Minor scratch. No injury. Both drivers exchanging information.,Moderate
Pedestrians hit by speeding truck on Ring Road. 11 people critically injured including children. Blood on road.,Highly Critical
Electrical pole fell on vehicles on Yamuna Expressway after accident. Live wires on ground. 12 electrocuted.,Highly Critical
Side mirror clipped on narrow Station Road. Minor glass breakage. No injuries. Both parties cooperating.,Moderate
Highway pileup of 13 cars on NH7 due to fog. 7 people injured across multiple vehicles.,Highly Critical
"School bus accident on Ahmedabad-Vadodara Expressway. Children trapped inside overturned bus. 14 injuries, parents rushing to scene.",Highly Critical
Taxi and auto minor touch at NH7 corner. Both vehicles operational. Passengers unhurt. Horn argument ongoing.,Moderate
Bike skidded on NH7 due to oil spill. Rider has minor scratches. No other vehicles involved.,Moderate
Severe accident on Kolkata-Delhi Highway. Vehicle rolled over multiple times. Passengers ejected. 4 in critical state.,Highly Critical
Electrical pole fell on vehicles on Airport Road after accident. Live wires on ground. 5 electrocuted.,Highly Critical
"Two buses collided head-on at Western Express Highway. 39 passengers on board. Massive casualties, ambulances needed.",Highly Critical
"Stampede triggered by accident on Bandra-Worli Sea Link. 15 people trampled. Chaos at scene, crowd control needed.",Highly Critical
Oil tanker fire on NH7. Thick black smoke visible for miles. 15 firefighters also injured in rescue.,Highly Critical
Truck overturned on Chennai-Bangalore Highway spilling hazardous chemicals. Area evacuation in progress. 12 people affected.,Highly Critical
"Hit and run on Agra-Lucknow Expressway. Victim dragged 1400 meters. Critical injuries, massive internal bleeding.",Highly Critical
Head-on collision between truck and car on GT Road. 15 critically injured. Fuel leaking from tanker.,Highly Critical
Highway pileup of 15 cars on Bypass Road due to fog. 10 people injured across multiple vehicles.,Highly Critical
Vehicle rolled backward slightly on Pune-Bangalore Highway slope. Tapped car behind. Tiny dent. No injuries at all.,Moderate
Slow-speed rear-end hit at Nagpur-Hyderabad Highway toll plaza. Minor scratch. No injury. Both drivers exchanging information.,Moderate
Major accident on Western Express Highway. Bus overturned carrying 51 passengers. Multiple casualties reported.,Highly Critical
Major landslide on Chennai-Bangalore Highway burying 11 vehicles. 8 people missing. Heavy rescue equipment needed.,Highly Critical
Taxi and auto minor touch at Chennai-Bangalore Highway corner. Both vehicles operational. Passengers unhurt. Horn argument ongoing.,Moderate
Ambulance carrying patients crashed on Western Express Highway. 6 people now critical. Both original and new patients affected.,Highly Critical
Tree branch fell on parked car at MG Road. Windshield cracked. No one inside. Owner filing insurance.,Moderate
Car door opened into passing cyclist on Nagpur-Hyderabad Highway. Cyclist has minor elbow scratch. No serious injury.,Moderate
Major chemical spill from truck on Station Road. Toxic fumes spreading. 10 people experiencing breathing difficulties.,Highly Critical
Electrical pole fell on vehicles on Station Road after accident. Live wires on ground. 10 electrocuted.,Highly Critical
"Fatal accident on Kolkata-Delhi Highway. Vehicle caught fire after collision. 25 dead, 8 people trapped.",Highly Critical
Bus grazed a bollard on Ahmedabad-Vadodara Expressway. Minor paint scrape. All passengers safe. Bus continued on route.,Moderate
Bus grazed a bollard on NH7. Minor paint scrape. All passengers safe. Bus continued on route.,Moderate
Electrical pole fell on vehicles on Eastern Express Highway after accident. Live wires on ground. 4 electrocuted.,Highly Critical
Massive pile-up involving 15 vehicles on Ring Road. Visibility was poor. Emergency services needed urgently.,Highly Critical
Oil tanker fire on NH7. Thick black smoke visible for miles. 23 firefighters also injured in rescue.,Highly Critical
Major landslide on Ahmedabad-Vadodara Expressway burying 5 vehicles. 4 people missing. Heavy rescue equipment needed.,Highly Critical
"Multi-vehicle collision on Hosur Road. 11 people injured, 10 trapped in wreckage. Rescue helicopters requested.",Highly Critical
"Stampede triggered by accident on Outer Ring Road. 6 people trampled. Chaos at scene, crowd control needed.",Highly Critical
Minor sideswipe between two cars on Kolkata-Delhi Highway. Paint transfer only. Both drivers walking and fine.,Moderate
"Two-wheeler slipped on wet Bandra-Worli Sea Link. Rider wearing helmet, has minor bruises. Bike has cosmetic damage.",Moderate
Highway pileup of 10 cars on GT Road due to fog. 4 people injured across multiple vehicles.,Highly Critical
Branch scratch on car roof on NH48. Cosmetic damage only. No personnel injury. Owner annoyed.,Moderate
Slow-speed rear-end hit at MG Road toll plaza. Minor scratch. No injury. Both drivers exchanging information.,Moderate
Vehicle hit a stray dog on Western Express Highway. Minor bumper damage. Animal ran away. Driver stopped to check.,Moderate
Head-on collision between truck and car on Ring Road. 16 critically injured. Fuel leaking from tanker.,Highly Critical
Water tanker brushed against parked car on Airport Road. Side panel scratch. No occupants in parked car.,Moderate
Vehicle rolled backward slightly on Eastern Express Highway slope. Tapped car behind. Tiny dent. No injuries at all.,Moderate
Electric scooter tipped over on Bandra-Worli Sea Link. Rider unhurt but scooter has broken footrest. No collision.,Moderate
"Multi-vehicle collision on NH7. 19 people injured, 8 trapped in wreckage. Local hospitals overwhelmed, patients diverted.",Highly Critical
"Multi-vehicle collision on Mumbai-Pune Expressway. 8 people injured, 10 trapped in wreckage. Army called for assistance.",Highly Critical
"Low-speed collision in traffic jam on Nagpur-Hyderabad Highway. Bumper to bumper touch. No injuries, minimal damage.",Moderate
Car door opened into passing cyclist on MG Road. Cyclist has minor elbow scratch. No serious injury.,Moderate
Drunk driver crashed into bus stop on Mumbai-Pune Expressway. 6 people killed. Several more in critical condition.,Highly Critical
Car plunged off Chennai-Bangalore Highway into river below. 19 occupants. Divers needed for underwater rescue operation.,Highly Critical
Bus grazed a bollard on Ring Road. Minor paint scrape. All passengers safe. Bus continued on route.,Moderate
"Stampede triggered by accident on Delhi-Jaipur Highway. 14 people trampled. Chaos at scene, crowd control needed.",Highly Critical
Minor accident at parking garage at Residential Colony. Scraped pillar while turning. No other vehicle involved.,Moderate
"Hit and run on Bypass Road. Victim dragged 600 meters. Critical injuries, massive internal bleeding.",Highly Critical
Slow-speed rear-end hit at Nagpur-Hyderabad Highway toll plaza. Minor scratch. No injury. Both drivers exchanging information.,Moderate
Highway pileup of 8 cars on Kolkata-Delhi Highway due to fog. 10 people injured across multiple vehicles.,Highly Critical
Truck overturned on NH7 spilling hazardous chemicals. Area evacuation in progress. 15 people affected.,Highly Critical
Minor collision at Bypass Road intersection. Both drivers alert and talking. Small dent on fender. Traffic moving.,Moderate
Minor sideswipe between two cars on Noida Expressway. Paint transfer only. Both drivers walking and fine.,Moderate
Gas tanker explosion on Delhi-Jaipur Highway. Massive fire engulfing nearby vehicles. 17 feared dead. Evacuation underway.,Highly Critical
Minor bump between school van and wall at University Campus. No children on board. Driver is fine.,Moderate
Minor accident at parking garage at City Mall. Scraped pillar while turning. No other vehicle involved.,Moderate
Car door opened into passing cyclist on Station Road. Cyclist has minor elbow scratch. No serious injury.,Moderate
Major landslide on Eastern Express Highway burying 7 vehicles. 3 people missing. Heavy rescue equipment needed.,Highly Critical
Branch scratch on car roof on Station Road. Cosmetic damage only. No personnel injury. Owner annoyed.,Moderate
"High-speed collision on Hosur Road. Car crushed under truck. 15 people severely injured, immediate rescue needed.",Highly Critical
"Low-speed collision in traffic jam on MG Road. Bumper to bumper touch. No injuries, minimal damage.",Moderate
Bus grazed a bollard on GT Road. Minor paint scrape. All passengers safe. Bus continued on route.,Moderate
Severe accident on Station Road. Vehicle rolled over multiple times. Passengers ejected. 7 in critical state.,Highly Critical
Electrical pole fell on vehicles on Eastern Express Highway after accident. Live wires on ground. 23 electrocuted.,Highly Critical
